generation,best_fitness,mean_fitness,std_fitness
0,-499.4743539261896,-2394.578877717044,2350.539324252804
1,-473.9593090873854,-1256.6202409362415,1053.2988230016338
2,-473.9593090873854,-872.9767043020756,667.1378098523679
3,-466.63434091222166,-1076.585371125223,931.6265454777231
4,-466.63434091222166,-1023.2687117827734,933.4980638769799
5,-464.87025287625585,-1048.8465438564133,907.3908548262472
6,-464.87025287625585,-888.6764847271849,670.1187732069629
7,-464.87025287625585,-1006.5405269136468,775.7613110062729
8,-456.9549030557998,-889.0327569652331,751.9468495700896
9,-456.9549030557998,-881.9541399141132,642.1919240768237
10,-432.56269421623,-737.8105698822153,538.292780984235
11,-432.56269421623,-839.4817658027026,635.2101030536194
12,-394.325228548189,-702.3089632625994,462.83150584261176
13,-394.325228548189,-930.339642526139,688.345767878577
14,-394.325228548189,-961.162072206478,1527.3507909809932
15,-394.325228548189,-839.1294807473446,684.2147814025477
16,-394.325228548189,-947.2804671621811,1586.9861600753263
17,-394.325228548189,-879.3645751376094,659.0319788245944
18,-394.325228548189,-728.6499093815569,495.8916186890816
19,-394.325228548189,-720.8607095915572,463.0439449475106
20,-394.325228548189,-780.233341253809,626.0529534258221
21,-394.325228548189,-797.8110966002089,561.207449676153
22,-394.325228548189,-863.6223871297339,626.2958255608478
23,-394.325228548189,-769.3542375881176,523.9016771889496
24,-394.325228548189,-666.863549583694,403.894677386133
25,-394.325228548189,-796.7611864419488,603.516530584066
26,-394.325228548189,-765.3518467430304,589.6527291167205
27,-394.325228548189,-710.3325852672526,475.52203274137
28,-394.325228548189,-742.0432544409452,512.7853453230678
29,-394.325228548189,-766.3918321897761,578.7548885561197
30,-394.325228548189,-841.7408796371014,701.728691719755
31,-394.325228548189,-821.3387123647751,615.9376418064596
32,-394.325228548189,-748.5582897091301,632.1961498179456
33,-394.325228548189,-830.0327974071092,733.0243616324135
34,-394.325228548189,-821.4742026810778,777.7705477864138
35,-394.325228548189,-674.1175660033169,496.82284573946254
36,-394.325228548189,-779.9092482889816,666.6339116432639
37,-394.325228548189,-853.6782066384758,763.7345037422131
38,-394.325228548189,-797.4686439102996,637.5770523388198
39,-394.325228548189,-783.4376118394018,492.90656676415267
40,-394.325228548189,-775.3455646111539,542.4651829471371
41,-394.325228548189,-714.4323324550254,420.3068716313182
42,-394.325228548189,-898.73870356583,800.1498109958476
43,-394.325228548189,-859.2501733319815,668.1719884230805
44,-394.325228548189,-747.2174487793823,487.743152474859
45,-394.325228548189,-861.6033834190065,983.8009423476723
46,-394.325228548189,-752.0147191390926,502.718948043951
47,-394.325228548189,-870.0750813167224,613.0210179417461
48,-394.325228548189,-731.9464952819376,433.05845116537967
49,-394.325228548189,-799.2062045794963,603.6769670925765
50,-394.325228548189,-817.0366228813938,617.8428285738773
51,-394.325228548189,-912.6748943747203,665.8694371293481
52,-394.325228548189,-764.2256973954926,487.5893629205382
53,-394.325228548189,-756.6377583299145,536.1101356472112
54,-394.325228548189,-642.1039575094386,361.18539271968973
