generation,best_fitness,mean_fitness,std_fitness
0,-625.8835648589792,-3031.39214925938,2849.0977998747044
1,-625.8835648589792,-2078.1293328348816,2873.8915228331857
2,-625.8835648589792,-1679.271997563952,1582.297975579468
3,-625.8835648589792,-1554.4622029354362,3087.2446999462127
4,-265.9408358912806,-1132.5507587320176,1043.3698147756982
5,-265.9408358912806,-1565.807151506699,2308.3888815075547
6,442.84265930429336,-1267.8558828497144,1074.8992376496942
7,442.84265930429336,-1429.0449055449353,2392.2643867124802
8,442.84265930429336,-1446.40418642773,1223.5870870218844
9,442.84265930429336,-1702.5169765800442,1853.2736276669348
10,442.84265930429336,-1453.1637365303682,1818.0738477994776
11,442.84265930429336,-1406.5721423049338,1175.9565527555965
12,442.84265930429336,-1380.1559834224497,1937.5255758002754
13,442.84265930429336,-1304.4507490157475,1283.6453267626553
14,442.84265930429336,-1132.772981414806,897.8871986001874
15,1389.8416504435143,-1289.0419230355265,1244.5835695535302
16,1389.8416504435143,-1310.658213998187,1311.0320916108426
17,1389.8416504435143,-1765.81048774062,2048.5434460069787
18,1389.8416504435143,-1549.1407238391623,2313.5878641752106
19,1389.8416504435143,-1645.583517028116,4159.7964038828195
20,1389.8416504435143,-1818.0431712414977,2634.61256590199
21,1389.8416504435143,-1607.533537725522,1771.3532886280932
22,1389.8416504435143,-1809.9856528175965,2247.6246745245194
23,1389.8416504435143,-2081.1500966698845,3766.2802537029734
24,1389.8416504435143,-1652.5742494429994,2300.4611869088753
25,1389.8416504435143,-1458.4107050365703,2214.706335531243
26,1389.8416504435143,-2040.855288992419,4360.939888892276
27,1389.8416504435143,-2404.076635433722,4060.9414258717193
28,1389.8416504435143,-1681.7530439487507,2774.930244767726
29,1389.8416504435143,-1609.9091579334324,1733.690788309306
30,1389.8416504435143,-1736.5734815849487,2019.9946794791751
31,1389.8416504435143,-2017.0258838272894,4893.625650809595
32,1389.8416504435143,-1448.8303425897075,2138.6516948885596
33,1389.8416504435143,-1605.633936085952,2025.6981269406538
34,1389.8416504435143,-1680.6589105817498,1812.60029147915
35,1389.8416504435143,-1462.4501057718444,1801.3479208974727
36,1389.8416504435143,-1607.4398973287373,2610.5054124192557
37,1389.8416504435143,-1521.2504664059195,1748.492438833387
38,1389.8416504435143,-1630.0003121384061,1709.3623534814567
39,1389.8416504435143,-1807.3767952891587,2511.9580699906837
40,1389.8416504435143,-1474.476054935337,1586.270722853866
41,1389.8416504435143,-1426.4021062111335,1550.9235236892948
42,1389.8416504435143,-1613.848582981772,1570.1083106598182
43,1389.8416504435143,-1403.4270023526637,1398.7209288435147
44,1389.8416504435143,-1534.4440688001189,1667.1562828862075
45,1389.8416504435143,-1457.796651847778,1601.8310043241866
46,1389.8416504435143,-1359.6579861224868,1379.8859270198989
47,1389.8416504435143,-1129.2282051392665,1150.83137326238
48,1389.8416504435143,-1110.2967312923515,1066.0388839686225
49,1389.8416504435143,-1353.9217648754563,1520.022040222086
50,1389.8416504435143,-1250.8018175821555,1362.033393678713
51,1389.8416504435143,-1391.6064788952824,2230.290389767393
52,1389.8416504435143,-1040.6459413143598,1086.092911046265
53,1389.8416504435143,-1233.8176882191606,1225.1918701859515
54,1389.8416504435143,-1278.8910792584588,1451.4105180673296
55,1389.8416504435143,-1127.4827863281769,1213.058718499786
56,1389.8416504435143,-1241.5921369888756,1236.8094371481754
57,1389.8416504435143,-1236.955219748342,1723.911270809448
58,1389.8416504435143,-1552.3344636612435,1969.7426457664585
59,1389.8416504435143,-1308.7968299834758,1588.3114949937894
60,1389.8416504435143,-1361.6244778978244,1493.212713932596
61,1389.8416504435143,-1105.6327284165884,1266.4068781526844
62,1389.8416504435143,-1088.0989594981845,1160.0893979604245
63,1389.8416504435143,-1283.7066075264001,1404.1724804404346
64,1389.8416504435143,-1033.0684966794572,1066.913341438321
65,1389.8416504435143,-1101.1565034907112,1119.3935231147852
66,1389.8416504435143,-879.904061340101,727.1917663606346
67,1389.8416504435143,-1225.2900773573497,1373.4934878784914
68,1692.1740404199784,-1165.8502772411111,1246.0604591174458
69,1692.1740404199784,-1144.1666029162545,1343.7058120481208
70,1692.1740404199784,-1137.2387504174358,1218.5207251332188
71,1692.1740404199784,-1155.9807599727178,1313.1769006315062
72,1692.1740404199784,-1158.1054831612532,1357.6544024831667
73,1692.1740404199784,-1045.2553689197962,1093.9523640995353
74,1692.1740404199784,-1124.6706908658632,1163.7421197595895
75,1922.0220937832562,-1043.597917486769,1086.6706172103866
76,1922.0220937832562,-940.8499941147255,912.1805880361811
77,1922.0220937832562,-1164.154732429723,1619.2026379101076
78,1922.0220937832562,-1205.3308757132768,1250.7060256983211
79,1922.0220937832562,-982.0163537033131,1092.4260503401456
80,1922.0220937832562,-999.978978322054,1027.4718938374144
81,1922.0220937832562,-1009.150541262688,1025.3784766747112
82,1922.0220937832562,-980.3530943016848,946.6384337583717
83,1922.0220937832562,-1141.8741628913751,1178.2601150617693
84,1922.0220937832562,-960.5103077851046,971.8374597129222
85,1922.0220937832562,-1076.089254656992,1223.9915499297824
86,1922.0220937832562,-1125.5559728698324,1419.4668217249616
87,1922.0220937832562,-1345.7226973416941,1507.5644936739589
88,1922.0220937832562,-1187.5812402012373,1285.241850944619
89,1922.0220937832562,-1139.9632096667253,1089.50700377876
90,1922.0220937832562,-884.9056226976016,966.8409294709963
91,1922.0220937832562,-1088.278340235714,1320.5450015059412
92,1922.0220937832562,-1218.8246222346295,1477.4631568773068
93,1922.0220937832562,-1093.7572357532888,1210.1745605167223
94,1922.0220937832562,-1182.4315081990314,1230.458895388729
95,1922.0220937832562,-1263.7055907593929,1383.1433043571715
96,1922.0220937832562,-1049.6281485867946,1326.4541714665738
97,1922.0220937832562,-1091.513177834533,1800.9338579822709
98,1922.0220937832562,-966.7815362610899,1089.3112081074032
99,1922.0220937832562,-1070.435380678864,1237.0586748486658
100,1922.0220937832562,-904.6577070857229,945.1705825579601
101,1922.0220937832562,-1107.2323435900726,1201.96333211644
102,1922.0220937832562,-1138.78536935924,1294.2667954493354
103,2022.5456082858552,-1108.1926381746644,1318.1850758594433
104,2022.5456082858552,-1273.5367642531066,1506.5315966082824
105,2022.5456082858552,-1174.2610762746956,1310.0471193356311
106,2022.5456082858552,-1572.615479192341,4555.443633484644
107,2022.5456082858552,-1314.9514300084172,1397.4853084778606
108,2022.5456082858552,-1201.2610164270066,1424.458805709238
109,2022.5456082858552,-1172.1686320815106,1604.3983763575247
110,2022.5456082858552,-1157.0081665821722,1304.2666803367188
111,2022.5456082858552,-1341.9553558548923,1647.5252968392956
112,2022.5456082858552,-1098.0980378234499,1314.392325573737
113,2022.5456082858552,-1270.8342426997724,1555.0039205151022
114,2022.5456082858552,-1195.8817120915514,1387.4060461042116
115,2022.5456082858552,-1248.0978441136124,1511.293435432593
116,2022.5456082858552,-1225.0102027098665,1468.0335032175972
117,2029.9911319462606,-1220.2731479174226,1551.4041041833489
118,2029.9911319462606,-1139.826455836183,1475.844456816761
119,2029.9911319462606,-1199.0028119946146,1359.2428826576213
120,2029.9911319462606,-1230.7652247108906,1448.7360239808247
121,2029.9911319462606,-1179.4170487622066,1495.9403362548417
122,2029.9911319462606,-1306.4624593119968,3667.2857677472
123,2029.9911319462606,-1168.968931691883,1451.5980676887045
124,2029.9911319462606,-1203.9939030556511,1319.8278333105668
125,2029.9911319462606,-1246.1698950909388,1376.8260116057088
126,2038.2401404717439,-1163.6359744735216,1275.7402451209996
127,2038.2401404717439,-1197.97495791422,1374.895202844578
128,2038.2401404717439,-1150.2591305873066,1292.498804904004
129,2038.2401404717439,-1196.3163379989332,1486.3496403357472
130,2038.2401404717439,-1113.4617697820265,1186.0667924600095
131,2038.2401404717439,-1012.9416057837843,1135.7495949723627
132,2038.2401404717439,-1405.0691345763569,1725.4737773552622
133,2038.2401404717439,-1152.148009625988,1298.8249723527592
134,2038.2401404717439,-1383.3401370567801,3955.2235386316056
135,2038.2401404717439,-1165.564463135771,1326.6478287508512
136,2038.2401404717439,-1277.078035903004,1636.085204277448
137,2038.2401404717439,-1096.3824156399603,1026.7373556390132
138,2038.2401404717439,-944.1895459917333,923.1388203892666
139,2038.2401404717439,-1057.0529705153015,1043.8274669055163
140,2038.2401404717439,-1198.2640081551785,1326.8662484938343
141,2038.2401404717439,-1146.4639557007401,1210.6202163326711
142,2038.2401404717439,-1077.337408092975,1352.9259029767393
143,2038.2401404717439,-1231.3121905943285,1471.622867871669
144,2038.2401404717439,-1019.2182960743029,1119.8196458859368
145,2038.2401404717439,-978.5510399770374,1095.6519759636485
146,2038.2401404717439,-1371.9071181259212,1896.1461695953171
147,2038.2401404717439,-1206.2099060087066,3061.7841882494995
148,2038.2401404717439,-1045.4665629136355,1202.1598135257689
149,2038.2401404717439,-1464.6018445789446,3674.282017299142
150,2038.2401404717439,-1302.6419294425702,2466.4531422658793
151,2038.2401404717439,-1166.9659866315217,1417.8922763803776
152,2038.2401404717439,-1147.8025223211052,1390.1264003470587
153,2038.2401404717439,-1165.505430028916,1379.604209890411
154,2038.2401404717439,-1164.0024361264125,1322.2215234958044
155,2038.2401404717439,-1174.302786717151,1475.0082432020695
156,2038.2401404717439,-1101.1277427783205,1253.5687312934026
157,2038.2401404717439,-1114.3048477968596,1360.5693028232115
158,2038.2401404717439,-1357.1429350092271,2446.3441085617387
159,2038.2401404717439,-1175.8408177306562,1438.3699333269906
160,2038.2401404717439,-1117.293016293534,1406.2424404412252
161,2038.2401404717439,-1183.681718069972,1333.505693145757
162,2038.2401404717439,-1195.3340707412565,1506.5576115216368
163,2038.2401404717439,-1116.3752061110201,1308.445331432962
164,2038.2401404717439,-1033.8446912031343,1185.7259336455052
165,2038.2401404717439,-1016.0687886486594,1244.5608864675867
166,2038.2401404717439,-1138.038667542324,1437.9732956939517
167,2038.2401404717439,-993.3235887412266,1103.0974414250586
168,2038.2401404717439,-1244.9579272141004,1536.1163407218964
169,2038.2401404717439,-1220.8295614574747,1266.533720817481
170,2038.2401404717439,-1267.2006284715699,1477.7342678724847
171,2038.2401404717439,-1072.0166574349182,1317.7950272302735
172,2038.2401404717439,-1225.8059773146617,1429.3576096882523
173,2038.2401404717439,-1127.4256307270632,1261.796453574023
174,2038.2401404717439,-1143.2715933731968,1169.9081424383146
175,2038.2401404717439,-1268.871920723165,1514.2270190962643
176,2038.2401404717439,-937.9578683871689,1122.1352000684979
177,2038.2401404717439,-1088.152860255661,1360.3159051056623
178,2038.2401404717439,-1131.0788414991819,1221.7148648439374
179,2038.2401404717439,-937.1082431792314,1032.0941811588762
180,2038.2401404717439,-1119.9731161952795,1320.8518413091533
181,2038.2401404717439,-1166.0850000070623,1539.6730137639163
182,2038.2401404717439,-1118.8908606425043,1368.3143215802797
